ID,TimeStamp,Area,UserId,Controller,ActivityType,GroupID
8427229,2022-10-10 07:40,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427230,2022-10-10 07:40,WorkLog,157,/WorkLog/WorkLogDailyViewer/ReadEntries,CustomControls,NULL
8427231,2022-10-10 07:40,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427232,2022-10-10 07:40,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427233,2022-10-10 07:40,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427234,2022-10-10 07:40,WorkLog,157,/WorkLog/WorkLogDailyViewer/ReadEntries,CustomControls,NULL
8427235,2022-10-10 07:40,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427236,2022-10-10 07:40,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427237,2022-10-10 07:40,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427238,2022-10-10 07:40,Support,493,/Support/Tickets,MenuAccessed,39
8427239,2022-10-10 07:40,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,SpanClicked,39
8427240,2022-10-10 07:40,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,ButtonClicked,39
8427241,2022-10-10 07:40,Support,493,/Support/Tickets/GetAssignedUsers,CustomControls,39
8427242,2022-10-10 07:40,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427243,2022-10-10 07:40,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427244,2022-10-10 07:40,Support,493,/Support/Tickets/GetAllSupervisor,CustomControls,39
8427245,2022-10-10 07:40,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427246,2022-10-10 07:40,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427247,2022-10-10 07:40,Support,493,/Support/Tickets,MenuAccessed,39
8427248,2022-10-10 07:41,WorkLog,162,/WorkLog/,MenuAccessed,8
8427249,2022-10-10 07:41,WorkLog,162,/WorkLog/WorkLogDailyViewer/ReadEntries,SelectClicked,NULL
8427250,2022-10-10 07:41,WorkLog,162,/WorkLog/GetLogEntries,SelectClicked,NULL
8427251,2022-10-10 07:41,WorkLog,162,/WorkLog/GetTaskCategoryDetails,CustomControls,8
8427252,2022-10-10 07:41,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,SpanClicked,39
8427253,2022-10-10 07:41,WorkLog,162,/WorkLog/GetLogEntries,SelectClicked,NULL
8427254,2022-10-10 07:41,WorkLog,162,/WorkLog/GetTaskCategoryDetails,CustomControls,8
8427255,2022-10-10 07:41,WorkLog,162,/WorkLog/WorkLogDailyViewer/ReadEntries,DivClicked,NULL
8427256,2022-10-10 07:41,WorkLog,162,/WorkLog/GetLogEntries,DivClicked,NULL
8427257,2022-10-10 07:41,WorkLog,162,/WorkLog/GetTaskCategoryDetails,DivClicked,8
8427258,2022-10-10 07:41,WorkLog,162,/WorkLog/GetLogEntries,DivClicked,NULL
8427259,2022-10-10 07:41,WorkLog,162,/WorkLog/GetTaskCategoryDetails,ButtonClicked,8
8427260,2022-10-10 07:41,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8427261,2022-10-10 07:41,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,ButtonClicked,39
8427262,2022-10-10 07:41,WorkLog,1065,/WorkLog/,MenuAccessed,13
8427263,2022-10-10 07:41,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427264,2022-10-10 07:41,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427265,2022-10-10 07:41,Support,493,/Support/Tickets/GetAllSupervisor,CustomControls,39
8427266,2022-10-10 07:41,Support,493,/Support/Tickets/GetAssignedUsers,CustomControls,39
8427267,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetLogEntries,SelectClicked,NULL
8427268,2022-10-10 07:41,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427269,2022-10-10 07:41,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427270,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetTaskCategoryDetails,ButtonClicked,13
8427271,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetLogEntries,SelectClicked,NULL
8427272,2022-10-10 07:41,Support,493,/Support/Tickets,MenuAccessed,39
8427273,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetTaskCategoryDetails,ButtonClicked,13
8427274,2022-10-10 07:41,WorkLog,1065,/WorkLog/WorkLogDailyViewer/ReadEntries,SelectClicked,NULL
8427275,2022-10-10 07:41,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8427276,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetLogEntries,SelectClicked,NULL
8427277,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetLogEntries,SelectClicked,NULL
8427278,2022-10-10 07:41,WorkLog,1065,/WorkLog/WorkLogDailyViewer/ReadEntries,SelectClicked,NULL
8427279,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetTaskCategoryDetails,CustomControls,13
8427280,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetSiteDetails,CustomControls,13
8427281,2022-10-10 07:41,WorkLog,1065,/WorkLog/GetContractDetails,CustomControls,13
8427282,2022-10-10 07:41,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8427283,2022-10-10 07:41,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,SpanClicked,39
8427284,2022-10-10 07:41,Support,208,/Support/Tickets/,MenuAccessed,17
8427285,2022-10-10 07:41,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,ButtonClicked,39
8427286,2022-10-10 07:41,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427287,2022-10-10 07:41,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427288,2022-10-10 07:41,Support,493,/Support/Tickets/GetAssignedUsers,CustomControls,39
8427289,2022-10-10 07:41,Support,493,/Support/Tickets/GetAllSupervisor,CustomControls,39
8427290,2022-10-10 07:42,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427291,2022-10-10 07:42,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427292,2022-10-10 07:42,Support,493,/Support/Tickets,MenuAccessed,39
8427293,2022-10-10 07:42,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,SpanClicked,39
8427294,2022-10-10 07:42,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,ButtonClicked,39
8427295,2022-10-10 07:42,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427296,2022-10-10 07:42,Support,493,/Support/Tickets/GetAllSupervisor,CustomControls,39
8427297,2022-10-10 07:42,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427298,2022-10-10 07:42,Support,493,/Support/Tickets/GetAssignedUsers,CustomControls,39
8427299,2022-10-10 07:42,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427300,2022-10-10 07:42,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427301,2022-10-10 07:42,Support,493,/Support/Tickets,MenuAccessed,39
8427302,2022-10-10 07:42,WorkLog,157,/WorkLog/GetSiteDetails,CustomControls,2
8427303,2022-10-10 07:42,WorkLog,157,/WorkLog/GetTaskCategoryDetails,CustomControls,2
8427304,2022-10-10 07:42,WorkLog,157,/WorkLog/GetContractDetails,CustomControls,2
8427305,2022-10-10 07:42,WorkLog,157,/WorkLog/GetSiteDetails,SelectClicked,2
8427306,2022-10-10 07:42,WorkLog,157,/WorkLog/GetTaskCategoryDetails,SelectClicked,2
8427307,2022-10-10 07:42,WorkLog,157,/WorkLog/GetContractDetails,SelectClicked,2
8427308,2022-10-10 07:42,ASTIR,493,/ASTIR/TagDataViewer/SearchTags,ButtonClicked,39
8427309,2022-10-10 07:42,ASTIR,493,/ASTIR/TagDataViewer/GetTagDataValues,ButtonClicked,39
8427310,2022-10-10 07:42,Support,493,/Support/Tickets/GetAssignedUsers,CustomControls,39
8427311,2022-10-10 07:42,Support,493,/Support/Tickets/GetInformedUsers,CustomControls,39
8427312,2022-10-10 07:42,Support,493,/Support/Tickets/GetAllApprovedUsers,CustomControls,39
8427313,2022-10-10 07:42,Support,493,/Support/Tickets/GetAllSupervisor,CustomControls,39
8427314,2022-10-10 07:43,Support,493,/Support/Tickets/AddComment,ButtonClicked,39
8427315,2022-10-10 07:43,Support,493,/Support/Tickets/CloseTicket,ButtonClicked,39
8427316,2022-10-10 07:43,Support,493,/Support/Tickets,MenuAccessed,39
8427317,2022-10-10 07:43,WorkLog,157,/WorkLog/CreateLogEntries,CustomControls,2
8427318,2022-10-10 07:43,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
8427319,2022-10-10 07:43,WorkLog,157,/WorkLog/GetLogEntries,CustomControls,NULL
